Filename, Scale, ShiftX, ShiftY, ProcessingTime(s)
IMG_20230410_122358.jpg, 0.23x, 74.3px, 54.0px, 0.31s
IMG_20230411_130836.jpg, 0.25x, 71.2px, 33.2px, 0.33s
IMG_20230412_124655.jpg, 0.25x, 53.0px, 38.6px, 0.30s
IMG_20230413_152005.jpg, 0.24x, 95.1px, 17.1px, 0.31s
IMG_20230414_193216.jpg, 0.26x, 79.5px, 19.6px, 0.30s
IMG_20230415_112709.jpg, 0.25x, 93.7px, 45.0px, 0.34s
IMG_20230416_175558.jpg, 0.25x, 74.1px, 48.1px, 0.30s
IMG_20230417_180744.jpg, 0.26x, 62.8px, 32.3px, 0.31s
IMG_20230418_161925.jpg, 0.25x, 62.0px, 35.9px, 0.32s
IMG_20230419_181112.jpg, 0.25x, 66.9px, 36.6px, 0.37s
IMG_20230420_201440.jpg, 0.25x, 72.9px, 33.4px, 0.31s
IMG_20230421_225007.jpg, 0.26x, 69.6px, 32.0px, 0.34s
IMG_20230422_120648.jpg, 0.25x, 71.1px, 29.2px, 0.32s
IMG_20230423_135509.jpg, 0.25x, 104.0px, 27.6px, 0.31s
IMG_20230424_134005.jpg, 0.25x, 75.8px, 50.0px, 0.31s
IMG_20230425_183821.jpg, 0.26x, 69.0px, 24.6px, 0.31s
IMG_20230426_145754.jpg, 0.27x, 58.6px, -9.8px, 0.31s
IMG_20230427_134038.jpg, 0.29x, 42.5px, -6.2px, 0.31s
IMG_20230428_134427.jpg, 0.25x, 99.4px, 38.2px, 0.32s
IMG_20230429_155241.jpg, 0.28x, 54.3px, 16.0px, 0.32s
IMG_20230430_155151.jpg, 0.28x, 50.3px, 28.1px, 0.32s
IMG_20230501_163545.jpg, 0.26x, 50.3px, 13.5px, 0.31s
IMG_20230502_160913.jpg, 0.25x, 61.4px, 47.8px, 0.33s
IMG_20230503_112254.jpg, 0.24x, 83.6px, 62.3px, 0.31s
IMG_20230504_125125.jpg, 0.27x, 58.3px, 0.5px, 0.31s
IMG_20230505_211943.jpg, 0.24x, 95.8px, 60.8px, 0.30s
IMG_20230506_150644.jpg, 0.26x, 77.4px, 8.9px, 0.32s
IMG_20230507_234223.jpg, 0.26x, 74.4px, 57.5px, 0.34s
IMG_20230508_140225.jpg, 0.26x, 44.3px, 32.5px, 0.32s
IMG_20230509_150702.jpg, 0.24x, 86.6px, 55.0px, 0.31s
IMG_20230510_162542.jpg, 0.26x, 69.7px, 34.7px, 0.32s
IMG_20230511_165822.jpg, 0.24x, 80.2px, 29.5px, 0.34s
IMG_20230512_160613.jpg, 0.27x, 47.2px, 14.9px, 0.32s
IMG_20230513_123628.jpg, 0.27x, 72.0px, 24.2px, 0.33s
IMG_20230514_102920.jpg, 0.24x, 73.9px, 42.1px, 0.31s
